Gene;symbol;log2FoldChange;padj
ENSMUSG00000067341.6;H2-Eb2;2.325982776;7.52657E-10
ENSMUSG00000001403.13;Ube2c;2.325854645;2.88243E-07
ENSMUSG00000015342.6;Xk;2.32548663;3.15922E-05
ENSMUSG00000001642.18;Akr1b3;2.324169626;4.5017E-100
ENSMUSG00000042489.15;Clspn;2.32125004;6.68287E-05
ENSMUSG00000051652.4;Lrrc3;2.320724912;3.57718E-06
ENSMUSG00000029781.7;Fkbp9;2.31593976;6.61193E-28
ENSMUSG00000062515.3;Fabp4;2.300834385;2.22409E-06
ENSMUSG00000042190.12;Cmklr1;2.293491525;4.2373E-126
ENSMUSG00000027339.15;Rassf2;2.292891103;1.03376E-71
ENSMUSG00000073591.4;Pcdhb22;2.292194741;1.49071E-05
ENSMUSG00000032194.9;Kank2;2.289076856;1.0356E-36
ENSMUSG00000025068.8;Gsto1;2.288174993;2.95319E-66
ENSMUSG00000006344.17;Ggt5;2.286525696;0.005216574
ENSMUSG00000076433.4;Cep295nl;2.285603236;0.000618666
ENSMUSG00000010660.3;Plcd1;2.280183715;2.6838E-16
ENSMUSG00000049536.5;Tceal1;2.265228493;1.4659E-05
ENSMUSG00000058624.13;Gda;2.25795833;1.71079E-44
ENSMUSG00000041961.14;Znrf3;2.254859283;1.79729E-16
ENSMUSG00000033849.3;B3galt2;2.250751288;0.00011726
ENSMUSG00000027111.16;Itga6;2.248942321;8.82358E-24
ENSMUSG00000038740.9;Mvb12b;2.24735231;8.03975E-28
ENSMUSG00000073557.12;Ppp1r12b;2.24626585;2.04539E-62
ENSMUSG00000030148.15;Clec4a2;2.244974658;5.5381E-103
ENSMUSG00000037907.16;Ankrd13b;2.243774915;3.1118E-10
ENSMUSG00000034265.8;Zdhhc14;2.23831361;1.89756E-26
ENSMUSG00000023262.13;Acy1;2.237322535;3.46403E-17
ENSMUSG00000114432.1;NA;2.237217913;0.007427242
ENSMUSG00000060591.9;Ifitm2;2.235598025;1.5841E-82
ENSMUSG00000025855.13;Prkar1b;2.235128968;2.20308E-09
ENSMUSG00000024665.8;Fads2;2.235055655;4.46723E-05
ENSMUSG00000031465.6;Angpt2;2.233972728;0.01120734
ENSMUSG00000004814.10;Ccl24;2.227297989;0.003841148
ENSMUSG00000019718.8;L3hypdh;2.226141701;0.020847665
ENSMUSG00000033192.5;Lpcat2;2.225263011;1.9623E-105
ENSMUSG00000022788.16;Fgd4;2.223323573;6.85162E-35
ENSMUSG00000021048.7;Mthfd1;2.221406386;8.47535E-25
ENSMUSG00000034488.14;Edil3;2.219854333;2.46342E-12
ENSMUSG00000035783.9;Acta2;2.218169579;1.90248E-12
ENSMUSG00000038886.10;Man2a2;2.214824743;6.62767E-06
ENSMUSG00000001131.11;Timp1;2.213886979;1.06695E-94
ENSMUSG00000036957.8;Lrfn3;2.213516417;2.51852E-09
ENSMUSG00000022748.8;Cmss1;2.211664614;0.001202432
ENSMUSG00000030468.12;Siglecg;2.20926873;2.42001E-08
ENSMUSG00000032532.7;Cck;2.205118146;1.47375E-05
ENSMUSG00000029005.4;Draxin;2.202739974;0.017283989
ENSMUSG00000036353.13;P2ry12;2.201856982;0.000188078
ENSMUSG00000051682.15;Treml4;2.193964991;1.84982E-14
ENSMUSG00000027993.16;Trim2;2.192396802;2.38475E-05
ENSMUSG00000029516.19;Cit;2.188304587;3.53623E-05
ENSMUSG00000031398.13;Plxna3;2.186107363;1.17217E-07
ENSMUSG00000040945.13;Rcc2;2.186101245;1.0498E-140
ENSMUSG00000069516.8;Lyz2;2.185906089;1.09753E-35
ENSMUSG00000037762.6;Slc16a9;2.184954986;1.37581E-13
ENSMUSG00000050382.14;Kif7;2.181713826;3.81287E-12
ENSMUSG00000047945.6;Marcksl1;2.180533701;1.1384E-118
ENSMUSG00000003355.7;Fkbp11;2.178590107;1.07014E-05
ENSMUSG00000025037.6;Maoa;2.178085502;1.87641E-25
ENSMUSG00000076612.8;NA;2.174591593;0.00366268
ENSMUSG00000026458.13;Ppfia4;2.170238301;3.5497E-09
ENSMUSG00000022415.12;Syngr1;2.168561453;1.27023E-06
ENSMUSG00000040269.5;Mrps28;2.168019705;3.7621E-16
ENSMUSG00000047409.13;Ctdspl;2.167806483;3.716E-10
ENSMUSG00000055782.9;Abcd2;2.16739162;1.33573E-14
ENSMUSG00000022912.8;Pros1;2.165488031;3.44448E-43
ENSMUSG00000022514.14;Il1rap;2.16438057;1.08022E-56
ENSMUSG00000039976.4;Tbc1d16;2.16423569;2.67134E-15
ENSMUSG00000018470.8;Kcnab3;2.161812654;0.001343471
ENSMUSG00000034656.18;Cacna1a;2.160957627;3.12132E-09
ENSMUSG00000052821.3;Cysltr1;2.160267315;2.02102E-25
ENSMUSG00000024397.14;Aif1;2.152621844;3.5322E-26
ENSMUSG00000026602.9;Nphs2;2.152451258;0.044699664
ENSMUSG00000061068.7;Mcpt4;2.143730973;6.18154E-07
ENSMUSG00000006442.10;Srm;2.142465061;6.26518E-18
ENSMUSG00000056069.10;Otulinl;2.141447815;1.68914E-11
ENSMUSG00000030162.14;Olr1;2.140816183;2.65169E-23
ENSMUSG00000028633.7;Ctps;2.139858862;3.55022E-14
ENSMUSG00000041859.10;Mcm3;2.137278019;6.07823E-73
ENSMUSG00000014303.13;Glis2;2.137208799;1.28891E-07
ENSMUSG00000023009.14;Nckap5l;2.135152715;9.14127E-24
ENSMUSG00000023367.14;Tmem176a;2.135071007;1.19209E-06
ENSMUSG00000026986.14;Hnmt;2.134887942;1.18986E-16
ENSMUSG00000083282.3;Ctsf;2.132944108;3.2369E-05
ENSMUSG00000036905.8;C1qb;2.129251914;5.897E-28
ENSMUSG00000023034.7;Nr4a1;2.129197504;1.35737E-25
ENSMUSG00000037772.13;Mrpl23;2.126834451;3.89939E-39
ENSMUSG00000033705.17;Stard9;2.126720079;3.20431E-43
ENSMUSG00000074604.9;Mgst2;2.12659746;4.7323E-18
ENSMUSG00000079484.12;Phyhd1;2.126569202;1.57567E-07
ENSMUSG00000046179.17;E2f8;2.124023311;1.4807E-11
ENSMUSG00000022390.11;Zc3h7b;2.121488151;5.02885E-37
ENSMUSG00000074093.4;Svip;2.121131131;1.57736E-07
ENSMUSG00000037325.10;Bbs7;2.113985667;7.05959E-22
ENSMUSG00000025453.18;Nnt;2.111233596;2.95677E-07
ENSMUSG00000099041.1;NA;2.108714301;0.002142411
ENSMUSG00000036766.12;Dner;2.106196702;0.000198392
ENSMUSG00000031373.4;Car5b;2.102698781;1.16811E-16
ENSMUSG00000020086.6;Macroh2a2;2.098632519;0.002499699
ENSMUSG00000028678.13;Kif2c;2.09665206;3.81884E-06
ENSMUSG00000026765.12;Lypd6b;2.092749612;0.002305485
ENSMUSG00000014158.12;Trpv4;2.091032288;4.92042E-29
ENSMUSG00000074141.13;Il4i1;2.088033529;3.82471E-12
ENSMUSG00000001305.5;Rrp15;2.08504673;6.65401E-15
ENSMUSG00000048240.14;Gng7;2.08374422;0.000245929
ENSMUSG00000024299.17;Adamts10;2.080440779;1.13274E-27
ENSMUSG00000025328.9;Padi3;2.074583796;0.003316017
ENSMUSG00000060044.8;Tmem26;2.074390315;0.032201745
ENSMUSG00000078144.4;Capns2;2.071725162;0.007919535
ENSMUSG00000074738.2;Fndc10;2.070502579;0.019196456
ENSMUSG00000068747.14;Sort1;2.067155004;1.02701E-71
ENSMUSG00000039270.9;Megf9;2.063063762;1.20289E-35
ENSMUSG00000068740.13;Celsr2;2.062699537;0.008913037
ENSMUSG00000031458.8;Coprs;2.059126345;1.16689E-17
ENSMUSG00000039197.10;Adk;2.055630526;2.30151E-38
ENSMUSG00000029553.10;Tfec;2.05519681;1.44905E-29
ENSMUSG00000058794.12;Nfe2;2.046454588;3.43254E-06
ENSMUSG00000009292.18;Trpm2;2.046142909;9.08816E-17
